Designator,Mid X,Mid Y,Rotation,Layer
C1,35.545,10.514,0.0,top
D1,29.54,15.91,90.0,top
D2,36.745,4.636,0.0,top
HS1,25.305,18.38,90.0,top
J1,3.125,22.17,-90.0,top
J2,45.765,27.25,-90.0,top
J3,45.695,14.772,-90.0,top
LD1,2.9075,26.82,0.0,top
R1,6.545,23.76,-90.0,top
R2,6.545,18.42,90.0,top
R3,37.065,21.38,0.0,top
R4,37.065,15.562,0.0,top
R6,37.065,33.016,0.0,top
R7,37.065,27.198,0.0,top
R9,6.545,13.08,90.0,top
U1,9.12,25.25,0.0,top
U3,16.67,10.975,180.0,top
